Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_B10060_001,SE_B10060_002,SE_B10060_003,PCT_SE_B10060_002,PCT_SE_B10060_003
6037106111,14000US06037106111,Census Tract 1061.11,"Census Tract 1061.11, Los Angeles County, California",ca,140,0,ACSSF,3908,,,,,6,37,,,,106111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1168,432,736,36.99,63.01
6037106112,14000US06037106112,Census Tract 1061.12,"Census Tract 1061.12, Los Angeles County, California",ca,140,0,ACSSF,3909,,,,,6,37,,,,106112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1269,313,956,24.67,75.33
6037106113,14000US06037106113,Census Tract 1061.13,"Census Tract 1061.13, Los Angeles County, California",ca,140,0,ACSSF,3910,,,,,6,37,,,,106113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792,145,647,18.31,81.69
6037106114,14000US06037106114,Census Tract 1061.14,"Census Tract 1061.14, Los Angeles County, California",ca,140,0,ACSSF,3911,,,,,6,37,,,,106114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704,118,586,16.76,83.24
6037106403,14000US06037106403,Census Tract 1064.03,"Census Tract 1064.03, Los Angeles County, California",ca,140,0,ACSSF,3912,,,,,6,37,,,,106403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689,123,566,17.85,82.15
6037106405,14000US06037106405,Census Tract 1064.05,"Census Tract 1064.05, Los Angeles County, California",ca,140,0,ACSSF,3913,,,,,6,37,,,,106405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483,111,372,22.98,77.02
6037106406,14000US06037106406,Census Tract 1064.06,"Census Tract 1064.06, Los Angeles County, California",ca,140,0,ACSSF,3914,,,,,6,37,,,,106406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1222,442,780,36.17,63.83
6037106407,14000US06037106407,Census Tract 1064.07,"Census Tract 1064.07, Los Angeles County, California",ca,140,0,ACSSF,3915,,,,,6,37,,,,106407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,20,196,9.26,90.74
6037106408,14000US06037106408,Census Tract 1064.08,"Census Tract 1064.08, Los Angeles County, California",ca,140,0,ACSSF,3916,,,,,6,37,,,,106408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,19,114,14.29,85.71
6037106510,14000US06037106510,Census Tract 1065.10,"Census Tract 1065.10, Los Angeles County, California",ca,140,0,ACSSF,3917,,,,,6,37,,,,106510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040,259,781,24.9,75.1
6037106520,14000US06037106520,Census Tract 1065.20,"Census Tract 1065.20, Los Angeles County, California",ca,140,0,ACSSF,3918,,,,,6,37,,,,106520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913,151,762,16.54,83.46
6037106603,14000US06037106603,Census Tract 1066.03,"Census Tract 1066.03, Los Angeles County, California",ca,140,0,ACSSF,3919,,,,,6,37,,,,106603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832,494,338,59.38,40.62
6037106604,14000US06037106604,Census Tract 1066.04,"Census Tract 1066.04, Los Angeles County, California",ca,140,0,ACSSF,3920,,,,,6,37,,,,106604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595,119,476,20,80
