Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,PCT_SE_A14001_002,PCT_SE_A14001_003,PCT_SE_A14001_004,PCT_SE_A14001_005,PCT_SE_A14001_006,PCT_SE_A14001_007,PCT_SE_A14001_008,PCT_SE_A14001_009,PCT_SE_A14001_010,PCT_SE_A14001_011,PCT_SE_A14001_012,PCT_SE_A14001_013,PCT_SE_A14001_014,PCT_SE_A14001_015,PCT_SE_A14001_016,PCT_SE_A14001_017
6037400900,14000US06037400900,Census Tract 4009,"Census Tract 4009, Los Angeles County, California",ca,140,0,ACSSF,4943,,,,,6,37,,,,400900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,36,26,41,8,42,96,105,47,50,100,93,171,185,147,173,130,2.48,1.79,2.83,0.55,2.9,6.62,7.24,3.24,3.45,6.9,6.41,11.79,12.76,10.14,11.93,8.97
6037401001,14000US06037401001,Census Tract 4010.01,"Census Tract 4010.01, Los Angeles County, California",ca,140,0,ACSSF,4944,,,,,6,37,,,,401001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,9,21,0,0,40,0,34,18,33,52,87,138,195,93,131,173,0.88,2.05,0,0,3.91,0,3.32,1.76,3.22,5.08,8.5,13.48,19.04,9.08,12.79,16.89
6037401002,14000US06037401002,Census Tract 4010.02,"Census Tract 4010.02, Los Angeles County, California",ca,140,0,ACSSF,4945,,,,,6,37,,,,401002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1536,65,107,54,49,127,37,51,29,46,128,74,163,199,123,115,169,4.23,6.97,3.52,3.19,8.27,2.41,3.32,1.89,2.99,8.33,4.82,10.61,12.96,8.01,7.49,11
6037401101,14000US06037401101,Census Tract 4011.01,"Census Tract 4011.01, Los Angeles County, California",ca,140,0,ACSSF,4946,,,,,6,37,,,,401101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985,151,79,32,133,96,89,64,172,99,112,142,247,184,154,110,121,7.61,3.98,1.61,6.7,4.84,4.48,3.22,8.66,4.99,5.64,7.15,12.44,9.27,7.76,5.54,6.1
6037401102,14000US06037401102,Census Tract 4011.02,"Census Tract 4011.02, Los Angeles County, California",ca,140,0,ACSSF,4947,,,,,6,37,,,,401102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186,58,90,90,50,43,20,14,21,13,64,109,197,156,112,124,25,4.89,7.59,7.59,4.22,3.63,1.69,1.18,1.77,1.1,5.4,9.19,16.61,13.15,9.44,10.46,2.11
6037401201,14000US06037401201,Census Tract 4012.01,"Census Tract 4012.01, Los Angeles County, California",ca,140,0,ACSSF,4948,,,,,6,37,,,,401201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996,17,8,0,0,27,15,38,5,74,25,41,130,169,116,170,161,1.71,0.8,0,0,2.71,1.51,3.82,0.5,7.43,2.51,4.12,13.05,16.97,11.65,17.07,16.16
6037401202,14000US06037401202,Census Tract 4012.02,"Census Tract 4012.02, Los Angeles County, California",ca,140,0,ACSSF,4949,,,,,6,37,,,,401202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1344,8,40,19,46,25,0,95,29,40,74,179,190,244,106,148,101,0.6,2.98,1.41,3.42,1.86,0,7.07,2.16,2.98,5.51,13.32,14.14,18.15,7.89,11.01,7.51
6037401203,14000US06037401203,Census Tract 4012.03,"Census Tract 4012.03, Los Angeles County, California",ca,140,0,ACSSF,4950,,,,,6,37,,,,401203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1694,37,47,37,20,60,10,86,60,57,147,230,162,188,169,225,159,2.18,2.77,2.18,1.18,3.54,0.59,5.08,3.54,3.36,8.68,13.58,9.56,11.1,9.98,13.28,9.39
6037401303,14000US06037401303,Census Tract 4013.03,"Census Tract 4013.03, Los Angeles County, California",ca,140,0,ACSSF,4951,,,,,6,37,,,,401303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704,18,5,16,0,16,14,6,20,24,55,40,64,112,33,98,183,2.56,0.71,2.27,0,2.27,1.99,0.85,2.84,3.41,7.81,5.68,9.09,15.91,4.69,13.92,25.99
6037401304,14000US06037401304,Census Tract 4013.04,"Census Tract 4013.04, Los Angeles County, California",ca,140,0,ACSSF,4952,,,,,6,37,,,,401304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,56,23,0,64,83,26,35,48,12,41,68,221,204,393,154,422,3.03,1.24,0,3.46,4.49,1.41,1.89,2.59,0.65,2.22,3.68,11.95,11.03,21.24,8.32,22.81
